"job_llink","job_title","country","remote_flag","posted_date","job_description"
"https://jobs.akamai.com/en/sites/CX_1/job/1878/?keyword=engineering&mode=location","Senior II Software Engineer Lead - Akamai Inference Cloud (Remote)","United States","(Remote)","11/19/2025","As a Senior II Software Engineer Lead, you will be responsible for driving the design and implementation of critical components of our globally distributed AI inference platform. You'll work hands-on to build and optimize systems that deliver OpenAI-compatible endpoints while orchestrating inference workloads across regions. You will guide other engineers, influence technical direction, and ensure delivery of high-quality, scalable solutions."
"https://jobs.akamai.com/en/sites/CX_1/job/1669/?keyword=engineering&mode=location","Security Engineer II (Security Clearance)- Remote","United States","(Remote)","03/26/2026","As a Security Engineer, you will play a pivotal role in designing, implementing, and optimizing SIEM solutions to meet evolving business needs. You will build and manage SIEM workflows and connectors, ensuring seamless integration of various data sources."
"https://jobs.akamai.com/en/sites/CX_1/job/2047/?keyword=engineering&mode=location","Software Engineer (Java) - Remote from Poland","Poland","(Remote)","03/18/2026","You will work at the heart of the Internet. You will build and operate systems gathering telemetry from the next-generation cloud computing platform. You will join a cross-functional scrum team that owns services and products' design, development, deployment, and maintenance. Thousands of internal and external Akamai customers use these."
"https://jobs.akamai.com/en/sites/CX_1/job/2743/?keyword=engineering&mode=location","Senior Site Reliability Engineer","Israel","(Remote)","03/22/2026","Our Cloud team is a diverse team that includes both SREs and Software Engineers. As part of our ongoing innovation efforts, we are also developing cutting-edge AI agents that enhance R&amp;D productivity. automate complex workflows, and improve operational efficiency across the organization."
"https://jobs.akamai.com/en/sites/CX_1/job/2437/?keyword=engineering&mode=location","Cloud Support Engineer II","India","(Remote)","03/31/2026","In this role, you will be partnering with our customers as an extension of their IT, engineering, and DevOps organizations. You'll be their primary point of contact to resolve a broad range of technical issues as they arise."
"https://jobs.akamai.com/en/sites/CX_1/job/1982/?keyword=engineering&mode=location","Software Development Engineer in Test II","Poland","(Remote)","12/15/2025","Our team is responsible for developing software running on many Akamai switches and routers and Host Networking on our Cloud Compute Servers. We are also involved in creating monitoring systems for modern network topologies in data centres."
"https://jobs.akamai.com/en/sites/CX_1/job/2639/?keyword=engineering&mode=location","Software Development Engineer in Test II","Poland","(Remote)","03/13/2026","The team develops software for Akamai switches, routers, and Host Networking on Cloud Compute Servers. Additionally, it creates monitoring systems for modern network topologies in data centers."
"https://jobs.akamai.com/en/sites/CX_1/job/2704/?keyword=engineering&mode=location","Software Development Engineer in Test II","Poland","(Remote)","03/17/2026","The SDET II role involves overseeing quality and observability strategies for platform infrastructure components, ensuring services meet global reliability standards. Responsibilities include designing automated testing frameworks, building telemetry systems, and implementing monitoring solutions. This position provides opportunities to address AI infrastructure quality challenges and validate systems supporting inference workloads."
"https://jobs.akamai.com/en/sites/CX_1/job/2163/?keyword=engineering&mode=location","Senior Software Development Engineer in Test","Poland","(Remote)","02/18/2026","You perform software QA/testing duties in furtherance of solving critical software automation and verification problems in a distributed systems environment. Work with developers, QA teams on system-wide automation infrastructure; contribute to system test plans &amp; ensure effective test coverage &amp;automation. Create &amp; deploy automated system tests to replicate real world scenarios; improve testing methodologies, procedures to enhance test automation efficiency."
"https://jobs.akamai.com/en/sites/CX_1/job/1985/?keyword=engineering&mode=location","Senior Hardware Engineer","United States","(On-site)","03/30/2026","You will develop new server platforms optimized for cloud workloads, and  GPU-accelerated configurations for AI inference. You will be at the forefront of the server lifecycle managing architecture, design for manufacturability, bring-up, validation, and release ensuring our platforms meet demanding performance, cost, and reliability targets."
"https://jobs.akamai.com/en/sites/CX_1/job/2052/?keyword=engineering&mode=location","Systems Engineer II","Costa Rica","(Remote)","03/24/2026","The Collaboration Tools Delivery Engineer is responsible for updating and maintaining communication and productivity systems. This role oversees IT projects for platforms like Google Workspace, Cisco Webex, Microsoft 365, and Slack. Responsibilities include managing deployments, integrations, and providing user support. Emphasis is placed on utilizing automation and industry standards to enhance efficiency and foster innovation within these platforms."
"https://jobs.akamai.com/en/sites/CX_1/job/2574/?keyword=engineering&mode=location","Senior Site Reliability Engineer","Poland","(Remote)","03/23/2026","This role involves applying expertise in compensation within a dynamic, high-tech setting, emphasizing data management and reporting for market insights."
"https://jobs.akamai.com/en/sites/CX_1/job/2041/?keyword=engineering&mode=location","Solutions Engineer II","United States","(Remote)","03/25/2026","In this role, you will be the customers’ trusted advisor and technical expert. Collaborating with sales partners, you’ll facilitate product adoption and account growth with a winning mindset for Akamai and our customers."
"https://jobs.akamai.com/en/sites/CX_1/job/2583/?keyword=engineering&mode=location","Senior II DevOps Engineer","United States","(Remote)","03/04/2026","As a Senior II DevOps Engineer, you will develop and maintain cloud infrastructures and web applications, focusing on FedRAMP standards. Working on top-notch network security projects with highly skilled colleagues, you will enjoy challenges in an exciting, dynamic learning environment."
