"role","job_link","department","city_1","city_2"
"Senior/Principal Product Manager - Durable Objects","https://boards.greenhouse.io/cloudflare/jobs/7731886?gh_jid=7731886","Emerging Technology & Incubation","Austin, US","New York, US"
"Senior/Principal Systems Engineer, Workers AI (AI/ML)","https://boards.greenhouse.io/cloudflare/jobs/6297179?gh_jid=6297179","Emerging Technology & Incubation","Austin, US","London, UK"
"Software Engineer, Workers Builds & Automation","https://boards.greenhouse.io/cloudflare/jobs/5733639?gh_jid=5733639","Emerging Technology & Incubation","Austin, US","Lisbon, Portugal"
"Software Engineer, Workers Deploy & Config","https://boards.greenhouse.io/cloudflare/jobs/7377424?gh_jid=7377424","Emerging Technology & Incubation","Austin, US","Lisbon, Portugal"
"Software Engineer, Workers Observability","https://boards.greenhouse.io/cloudflare/jobs/7505637?gh_jid=7505637","Emerging Technology & Incubation","London, UK",""
"Systems Engineer, Workers Authoring and Testing","https://boards.greenhouse.io/cloudflare/jobs/7104011?gh_jid=7104011","Emerging Technology & Incubation","Austin, US","London, UK"
"VP,  Developer Adoption","https://boards.greenhouse.io/cloudflare/jobs/6589672?gh_jid=6589672","Emerging Technology & Incubation","Austin, US","San Francisco, US"
"Analytics Engineer, FinTech","https://boards.greenhouse.io/cloudflare/jobs/7649684?gh_jid=7649684","Engineering","Lisbon, Portugal","London, UK"
"Business Systems Analyst","https://boards.greenhouse.io/cloudflare/jobs/6819455?gh_jid=6819455","Engineering","Austin, US","Lisbon, Portugal"
"Database Reliability Engineer","https://boards.greenhouse.io/cloudflare/jobs/7249558?gh_jid=7249558","Engineering","London, UK",""
"Detection & Mitigation Engineer","https://boards.greenhouse.io/cloudflare/jobs/7489019?gh_jid=7489019","Engineering","Mexico City, Mexico",""
"Developer Educator, Pages/Workers","https://boards.greenhouse.io/cloudflare/jobs/7354868?gh_jid=7354868","Engineering","San Francisco, US",""
"Distributed Systems Engineer - Data Platform - Analytical Database Platform","https://boards.greenhouse.io/cloudflare/jobs/4886734?gh_jid=4886734","Engineering","Lisbon, Portugal","London, UK"
"Distributed Systems Engineer - Data Platform - Analytics and Alerts","https://boards.greenhouse.io/cloudflare/jobs/7340474?gh_jid=7340474","Engineering","Lisbon, Portugal","London, UK"
"Distributed Systems Engineer - Data Platform - Logs and Audit Logs","https://boards.greenhouse.io/cloudflare/jobs/7340469?gh_jid=7340469","Engineering","Lisbon, Portugal","London, UK"
"Distributed Systems Engineer - Data Platform (Delivery, Database, Retrieval)","https://boards.greenhouse.io/cloudflare/jobs/7267602?gh_jid=7267602","Engineering","Lisbon, Portugal","London, UK"
"Distributed Systems Engineer - Data Platform (Delivery, Database, Retrieval)","https://boards.greenhouse.io/cloudflare/jobs/7462801?gh_jid=7462801","Engineering","Austin, US",""
"Engineering Director, Cloudflare One","https://boards.greenhouse.io/cloudflare/jobs/7670496?gh_jid=7670496","Engineering","London, UK",""
"Engineering Manager - Cloudforce One","https://boards.greenhouse.io/cloudflare/jobs/7167621?gh_jid=7167621","Engineering","London, UK",""
"Engineering Manager - Gateway","https://boards.greenhouse.io/cloudflare/jobs/7526467?gh_jid=7526467","Engineering","Lisbon, Portugal",""
"Engineering Manager - Security Platform","https://boards.greenhouse.io/cloudflare/jobs/7663425?gh_jid=7663425","Engineering","Atlanta, US","Austin, US"
"Engineering Manager, Linux Team","https://boards.greenhouse.io/cloudflare/jobs/7647474?gh_jid=7647474","Engineering","London, UK",""
"Engineering Manager, Traffic Management","https://boards.greenhouse.io/cloudflare/jobs/7524501?gh_jid=7524501","Engineering","Lisbon, Portugal","London, UK"
"Field Solutions Engineer","https://boards.greenhouse.io/cloudflare/jobs/6660802?gh_jid=6660802","Engineering","Mexico City, Mexico",""
"Frontend Engineer, UI Platform","https://boards.greenhouse.io/cloudflare/jobs/7559379?gh_jid=7559379","Engineering","Austin, US",""
"Machine Learning Engineer","https://boards.greenhouse.io/cloudflare/jobs/7603839?gh_jid=7603839","Engineering","Austin, US",""
"Platform Design Engineer (UX)","https://boards.greenhouse.io/cloudflare/jobs/7376614?gh_jid=7376614","Engineering","Austin, US","Lisbon, Portugal"
"Principal Billing Systems Engineer","https://boards.greenhouse.io/cloudflare/jobs/7404591?gh_jid=7404591","Engineering","Austin, US",""
"Principal Software Engineer","https://boards.greenhouse.io/cloudflare/jobs/7376838?gh_jid=7376838","Engineering","Atlanta, US","Austin, US"
"Principal Software Engineer - Billing","https://boards.greenhouse.io/cloudflare/jobs/7379773?gh_jid=7379773","Engineering","Lisbon, Portugal","London, UK"
"Principal Software Engineer: Resiliency","https://boards.greenhouse.io/cloudflare/jobs/6709422?gh_jid=6709422","Engineering","Austin, US","Washington DC, US"
"Principal Systems Engineer, Data","https://boards.greenhouse.io/cloudflare/jobs/7488760?gh_jid=7488760","Engineering","Atlanta, US","Austin, US"
