"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/textured-striped-polo-p04092424.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TEXTURED STRIPED POLO","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/wool-blend-balaclava-p03920722.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","WOOL BLEND BALACLAVA","$ 29.90","-33%","$ 19.99"
"https://www.zara.com/us/en/rubberized-crossbody-bag-p13606720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RUBBERIZED CROSSBODY BAG","$ 25.90","-40%","$ 15.54"
"https://www.zara.com/us/en/structured-ski-socks-p03334302.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TEXTURED SKI SOCKS","$ 25.90","-42%","$ 14.99"
"https://www.zara.com/us/en/quilted-pocket-overshirt-p01437311.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","QUILTED POCKET OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/quilted-pocket-overshirt-p01437311.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","QUILTED POCKET OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/leather-boots-with-harness-detail-p12014720.html","https://static.zara.net/assets/public/043a/81fa/73494c5db9b7/869ddb8fc697/12014720102-e1/12014720102-e1.jpg?ts=1764604368189&w=474","LEATHER BOOTS WITH HARNESS DETAIL","$ 109.00","-40%","$ 65.40"
"https://www.zara.com/us/en/easy-care-jogger-waist-pants-p00347890.html","https://static.zara.net/assets/public/76e6/c522/79a44d9da520/59633e939a80/00706890506-e1/00706890506-e1.jpg?ts=1769519032925&w=474","EASY CARE JOGGER WAIST PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/soft-quilted-overshirt-p03918612.html","https://static.zara.net/assets/public/cf60/32d2/f94f4432bbd9/38ae72b2585a/03918614710-e1/03918614710-e1.jpg?ts=1764676868316&w=474","SOFT PADDED OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/purl-knit-sweater-p03284331.html","https://static.zara.net/assets/public/2255/ff01/089343998e7e/ea38969030ec/03284331800-e1/03284331800-e1.jpg?ts=1763470555773&w=474","PURL KNIT SWEATER","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/comfort-jogger-waist-pants-p06861693.html","https://static.zara.net/assets/public/888a/b8ad/252244f786d0/9a593a1233b6/05616693828-e1/05616693828-e1.jpg?ts=1756292579073&w=474","COMFORT JOGGER WAIST PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/contrasting-sole-sneakers-p12253720.html","https://static.zara.net/assets/public/37c6/d569/96034a13bdef/3c8a037cef89/12253720001-e1/12253720001-e1.jpg?ts=1765969514580&w=474","CONTRASTING SOLE SNEAKERS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/faux-leather-bomber-jacket-p05320200.html","https://static.zara.net/assets/public/8e61/6f67/cb5345e49f69/65b878f18053/05320200800-e1/05320200800-e1.jpg?ts=1766420435484&w=474","FAUX LEATHER BOMBER JACKET","$ 119.00","-40%","$ 71.40"
"https://www.zara.com/us/en/contrast-sole-sneakers-p12289620.html","https://static.zara.net/assets/public/66f5/77da/73cc4d219263/8f9899601c28/12289620700-e1/12289620700-e1.jpg?ts=1764757946969&w=474","CONTRAST SOLE SNEAKERS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/pointed-chelsea-boots-p12002620.html","https://static.zara.net/assets/public/a4a8/82cb/56a6493f8acb/1d7bc3d3f596/12002620700-e1/12002620700-e1.jpg?ts=1755513360098&w=474","POINTED CHELSEA BOOTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/flowy-belted-pants-p07484255.html","https://static.zara.net/assets/public/2fb4/2b5c/5e5248beb811/4f5e26e872da/07484255800-e1/07484255800-e1.jpg?ts=1767867286258&w=474","FLOWY BELTED PANTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/textured-stretch-chino-pants-p00706650.html","https://static.zara.net/assets/public/33e5/23b7/a307456bb04b/c6f47cdbbb0f/06861651529-e1/06861651529-e1.jpg?ts=1760611432518&w=474","TEXTURED STRETCH CHINO PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/contrast-collar-polo-sweatshirt-p00526310.html","https://static.zara.net/assets/public/646c/5b13/4d8d49dbb07c/abe358a157a8/00526310087-e1/00526310087-e1.jpg?ts=1767089867179&w=474","CONTRAST COLLAR POLO SWEATSHIRT","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/contrast-collar-polo-sweatshirt-p00526310.html","https://static.zara.net/assets/public/11f9/b91b/d86241adb779/fa2fa8a47843/00526310529-e1/00526310529-e1.jpg?ts=1760599157685&w=474","CONTRAST COLLAR POLO SWEATSHIRT","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/contrast-collar-overshirt-p08281754.html","https://static.zara.net/assets/public/4cd6/8118/6c8048ce80c4/6dc0f92f5bb9/08281754800-e1/08281754800-e1.jpg?ts=1769519017955&w=474","CONTRAST COLLAR OVERSHIRT","$ 99.90","-40%","$ 59.94"
