"product-card__link-overlay","product-card__link-overlay href","product-card__hero-image src","colorway href","colorway href 2","product-card__subtitle","product-card__product-count","product-price","product-price 2","product-price__perc","product-card__messaging"
"Phoenix Suns Standard Issue","https://www.nike.com/t/phoenix-suns-standard-issue-mens-dri-fit-nba-crew-neck-sweatshirt-JXX13R/FV2075-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/444d141e-d798-4d07-b891-0ade50d85773/PHX+MNK+DF+STD+ISS+CREW.png","","","Men's Nike Dri-FIT NBA Crew-Neck Sweatshirt","","$58.97","$85","30% off","Recycled Materials"
"Nike Flyfree","https://www.nike.com/t/flyfree-road-tint-sunglasses-t0vSPD/EV24023-008","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/935f1501-0a0d-4d2d-9caa-4908ef64ae9f/NIKE+FLYFREE+24+E+EV24023.png","","","Road Tint Sunglasses","","$234.97","$269","12% off",""
"Nike Running Lightweight","https://www.nike.com/t/running-lightweight-wool-crew-socks-1-pair-4VSx8ozO/IF2509-017","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d947c694-a9ac-4be8-b9ca-d4a2a7eeee34/U+NK+WOOL+RUN+CREW+1PR+-+200.png","https://www.nike.com/t/running-lightweight-wool-crew-socks-1-pair-4VSx8ozO/IF2509-017","https://www.nike.com/t/running-lightweight-wool-crew-socks-1-pair-4VSx8ozO/IF2509-010","Wool Crew Socks (1 Pair)","3 Colors","$21.97","$26","15% off",""
"Jordan Brooklyn","https://www.nike.com/t/jordan-brooklyn-mens-motorsport-jacket-MqdKyYCR/HV1048-011","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0a60c4bc-dfc0-4366-8d32-7c074f5e6346/M+J+BRK+MOTOSPORT+JKT.png","https://www.nike.com/t/jordan-brooklyn-mens-motorsport-jacket-MqdKyYCR/HV1048-011","https://www.nike.com/t/jordan-brooklyn-mens-motorsport-jacket-MqdKyYCR/HV1048-010","Men's Motorsport Jacket","2 Colors","$140.97","$175","19% off",""
"Nike College (Southern University and A&M)","https://www.nike.com/t/southern-university-and-am-mens-tri-blend-short-sleeve-t-shirt-7O2uxY1f/M21372SUAM25-BLH","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/28aac591-115d-4ba4-9743-22054b402fd1/HBCU+M+TRI-BLEND+SST.png","","","Men's Tri-Blend Short-Sleeve T-Shirt","","$29.97","$42","28% off",""
"Memphis Grizzlies Club","https://www.nike.com/t/memphis-grizzlies-club-mens-nba-practice-pullover-hoodie-T5GFns/HM7191-419","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a5489d20-e315-4c6b-98ac-7831db8c52ae/MEM+MNK+CLUB+PRC+FLC+PO+HDY.png","","","Men's Nike NBA Practice Pullover Hoodie","","$58.97","$85","30% off",""
"Dallas Mavericks Standard Issue","https://www.nike.com/t/dallas-mavericks-standard-issue-mens-dri-fit-nba-crew-neck-sweatshirt-tPvTcv/HM7477-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/85f5ac1f-aef5-406a-aeaa-60c6a20de985/DAL+M+NK+DF+SI+CREW.png","","","Men's Nike Dri-FIT NBA Crew-Neck Sweatshirt","","$69.97","$100","30% off",""
"Bay FC 2025 Stadium Home","https://www.nike.com/t/bay-fc-2025-stadium-home-mens-dri-fit-nwsl-replica-jersey-dmGgufcx/P35556SFFC-WNS","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/1862e067-6a2a-423c-aeac-8ed7ef5581ec/M+NWSL+Stad+CREW+NECK+JSY.png","","","Men's Nike Dri-FIT NWSL Replica Jersey","","$66.97","$95","29% off",""
"Nike College (Southern University and A&M","https://www.nike.com/t/southern-university-and-am-mens-club-fleece-1-4-zip-top-uUnbNDkL/M34407SUAM25-DHR","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/eb4c654f-54a1-4bc9-adbe-96d699e1327e/HBCU+M+CLUB+FLC+QRTR+ZIP.png","","","Men's Club Fleece 1/4-Zip Top","","$58.97","$85","30% off",""
"Portland Trail Blazers Essential","https://www.nike.com/t/portland-trail-blazers-essential-mens-nba-t-shirt-z51pXf/FJ0256-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/49b56ada-ed9e-4ff1-be8e-fcdb7b11600c/POR+M+NK+ES+LOGO1+SS+TEE.png","","","Men's Nike NBA T-Shirt","","$28.97","$37","21% off",""
